CABANG,PROPINSI,NO ORDER,TANGGAL,SUMBER,SERIES,HARGA JUAL,DISKON,JENIS BAYAR
FKH SALATIGA,JAWATENGAH,BTDSLG220500138,2022-05-30,OFFLINE,VARIO 125,23860000,225000,KREDIT
FKH CILACAP,JAWATENGAH,BTDCLP220500055,2022-05-30,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH KARANGANYAR,JAWATENGAH,BTDKRA220500022,2022-05-30,OFFLINE,PCX160,32110000,0,KREDIT
FKH KARANGANYAR,JAWATENGAH,BTDKRA220500018,2022-05-30,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500338,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH YOGYAKARTA,DAERAHISTIMEWAYOGYAK,BTDYOG220500116,2022-05-30,OFFLINE,VARIO 125,22310000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220400137,2022-05-30,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500339,2022-05-30,ONLINE,BEAT,18870000,0,KREDIT
FKH TEGAL,JAWATENGAH,BTDTGL220500042,2022-05-30,ONLINE,VARIO 125,23860000,0,KREDIT
FKHC JATILAWANG,JAWATENGAH,BTDJTL220500003,2022-05-30,OFFLINE,VARIO 125,24040000,0,KREDIT
FKH PURWOREJO,JAWATENGAH,BTDPWJ220500013,2022-05-31,ONLINE,BEAT,19585000,0,KREDIT
FKH PURWOREJO,JAWATENGAH,BTDPWJ220500040,2022-05-31,OFFLINE,VARIO 125,24040000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220500100,2022-05-31,OFFLINE,PCX160,32110000,0,KREDIT
FKH TEGALBARAT,JAWATENGAH,BTDTGB220500010,2022-05-30,OFFLINE,VARIO 160,26800000,0,KREDIT
FKH SRAGEN,JAWATENGAH,BTDSRG220500047,2022-05-30,ONLINE,BEAT,18870000,0,KREDIT
FKH SEWON,DAERAHISTIMEWAYOGYAK,BTDSWN220500016,2022-05-30,OFFLINE,PCX160,31825000,0,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500051,2022-05-30,OFFLINE,PCX160,32110000,0,KREDIT
FKH BULAKAMBA,JAWATENGAH,BTDBUL220500008,2022-05-31,OFFLINE,PCX160,35400000,0,KREDIT
FKH MAJAPAHIT,JAWATENGAH,BTDMJP220400006,2022-05-31,OFFLINE,BEAT,18870000,0,KREDIT
FKH NGUTER,JAWATENGAH,BTDNGT220500151,2022-05-31,OFFLINE,BEAT,18870000,0,KREDIT
FKH TONJONG,JAWATENGAH,BTDTJO220500011,2022-05-30,OFFLINE,PCX160,32110000,0,KREDIT
FKH KALASAN,DAERAHISTIMEWAYOGYAK,BTDKLS220500019,2022-05-30,OFFLINE,BEAT,18885000,0,KREDIT
FKH KARTASURO,JAWATENGAH,BTDKTS220400024,2022-05-30,OFFLINE,PCX160,31760000,0,KREDIT
FKH MRANGGEN,JAWATENGAH,BTDMRG220500018,2022-05-30,OFFLINE,VARIO 125,23650000,0,KREDIT
FKH TANJUNG BREBES,JAWATENGAH,BTDTJB220500033,2022-05-31,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500119,2022-05-31,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH FKH A YANI,JAWATENGAH,BTDAYN220500030,2022-05-30,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500121,2022-05-31,OFFLINE,GENIO,20075000,0,KREDIT
FKH SUKOHARJO,JAWATENGAH,BTDSKH220500076,2022-05-30,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH CILACAP,JAWATENGAH,BTDCLP220300104,2022-05-30,OFFLINE,PCX160,36245000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500332,2022-05-30,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500041,2022-05-30,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH BAKI,JAWATENGAH,BTDBAK220400025,2022-05-30,OFFLINE,VARIO 160,26800000,0,KREDIT
FKH YOGYAKARTA,DAERAHISTIMEWAYOGYAK,BTDYOG220500076,2022-05-30,OFFLINE,VARIO 125,23060000,400000,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500345,2022-05-31,OFFLINE,CB150R,31150000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500155,2022-05-31,OFFLINE,VARIO 160,26800000,500000,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500183,2022-05-31,OFFLINE,PCX160,32110000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500191,2022-05-31,ONLINE,VARIO 125,23860000,0,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500074,2022-05-31,OFFLINE,PCX160,35400000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500346,2022-05-31,OFFLINE,SUPRAX125,20300000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500262,2022-05-31,OFFLINE,VARIO 125,24000000,0,KREDIT
FKH YOGYAKARTA,DAERAHISTIMEWAYOGYAK,BTDYOG220500262,2022-05-30,OFFLINE,VARIO 125,22310000,200000,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500029,2022-05-31,OFFLINE,VARIO 125,23090000,300000,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500179,2022-05-30,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500109,2022-05-30,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500110,2022-05-30,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500347,2022-05-30,OFFLINE,PCX160,35400000,0,KREDIT
FKH KARTASURO,JAWATENGAH,BTDKTS220500019,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH ADIWERNA,JAWATENGAH,BTDADW220500008,2022-05-31,OFFLINE,PCX160,32110000,0,KREDIT
FKH BERBAH,JAWATENGAH,BTDBER220500120,2022-05-31,OFFLINE,VARIO 160,27090000,0,KREDIT
FKH BANDONGAN,JAWATENGAH,BTDBDN220500008,2022-05-31,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH NGUTER,JAWATENGAH,BTDNGT220500109,2022-05-31,ONLINE,VARIO 125,23090000,0,KREDIT
FKH MRANGGEN,JAWATENGAH,BTDMRG220500020,2022-05-31,OFFLINE,PCX160,32110000,0,KREDIT
FKH BANTUL,DAERAHISTIMEWAYOGYAK,BTDBTL220500096,2022-05-31,OFFLINE,VARIO 125,23210000,615000,KREDIT
FKH KARANGANYAR,JAWATENGAH,BTDKRY220500006,2022-05-30,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH SEWON,DAERAHISTIMEWAYOGYAK,BTDSWN220500026,2022-05-31,OFFLINE,VARIO 125,23210000,400000,KREDIT
FKH GOMBONG,JAWATENGAH,BTDGBG220500009,2022-05-30,OFFLINE,PCX160,32885000,0,KREDIT
FKH BANTUL,DAERAHISTIMEWAYOGYAK,BTDBTL220500087,2022-05-31,OFFLINE,REVO,15290000,0,KREDIT
FKH NGUTER,JAWATENGAH,BTDNGT220500156,2022-05-31,ONLINE,BEAT,18870000,0,KREDIT
FKH KEBUMEN,JAWATENGAH,BTDKBM220500011,2022-05-30,OFFLINE,SUPRAX125,20260000,0,KREDIT
FKH KEBUMEN,JAWATENGAH,BTDKBM220500062,2022-05-30,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH BANTUL,DAERAHISTIMEWAYOGYAK,BTDBTL220500099,2022-05-31,OFFLINE,BEAT,18885000,450000,KREDIT
